Geneid	R01	R02	R03	R04	R09	R10	R111	R112	R114	R115_2	R116	R117	R118	R11	R122	R123	R124	R125	R126	R127	R128	R26	R27	R28	R33	R34	R35	R36	R53	R54_2	R55	R56	R61_2	R62	R78	R79	R80	R85	R86	R87	R88	R97
ENSG00000160072	255	89	131	266	164	240	54	33	78	455	118	60	142	295	706	167	615	433	838	770	1327	616	186	269	449	616	551	258	1450	172	969	1037	1244	1013	1214	962	556	889	1330	728	1004	939
ENSG00000279928	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	3	3	0	0	0	0	1	1	0	1	0	0	5	2	1
ENSG00000228037	0	2	0	0	3	0	1	0	2	10	0	0	0	11	3	10	1	1	2	1	1	2	0	5	4	5	5	7	3	0	4	0	42	4	2	3	5	1	5	6	3	4
ENSG00000142611	428	280	348	234	147	322	294	254	470	425	247	193	205	295	18	62	142	8	56	29	50	478	203	666	395	533	751	358	48	91	44	26	0	90	34	43	23	23	37	45	8	17
ENSG00000284616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000157911	725	538	543	693	218	563	723	337	548	755	495	503	190	824	432	330	553	155	341	262	462	708	540	762	746	624	569	429	489	798	790	379	231	537	399	290	335	321	345	569	131	282
ENSG00000269896	90	21	57	25	18	27	28	15	27	48	20	7	12	33	359	110	118	188	192	237	164	104	70	69	86	124	136	40	722	140	316	45	231	434	209	582	345	142	290	469	621	430
ENSG00000228463	15	2	6	37	23	27	15	0	3	26	0	0	0	0	76	0	42	25	39	52	71	75	22	44	23	15	37	18	91	2	31	19	40	137	64	42	46	18	47	76	48	90
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000224340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226374	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000142655	825	467	1112	1054	361	836	895	564	852	1013	1092	362	944	612	731	376	619	611	622	630	939	2540	1053	760	1253	841	1392	680	876	505	1500	371	886	1254	882	636	396	653	665	1034	526	638
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235054	3	0	2	0	0	0	0	0	0	7	0	0	0	0	1	0	0	2	0	2	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000149527	1016	407	732	711	475	631	345	267	451	1192	665	248	351	472	1350	1348	3619	948	3965	2579	6827	2040	1075	744	1821	1146	1595	650	6233	947	3277	1271	701	2602	1622	3217	1278	1782	5967	1526	2519	1793
ENSG00000284739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000171621	140	249	239	231	81	156	82	105	420	166	182	327	71	309	83	116	209	61	77	129	65	202	91	373	251	223	673	165	84	118	102	134	41	454	56	38	97	72	25	97	43	58
ENSG00000272235	5	0	4	11	4	8	0	1	6	8	0	12	0	4	0	6	0	0	0	0	0	7	3	7	0	10	14	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0
ENSG00000284694	0	0	2	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0
ENSG00000224387	6	0	0	2	4	0	0	0	0	1	0	0	0	0	26	1	33	12	73	16	66	2	3	0	2	3	2	1	92	3	20	7	0	9	6	31	4	4	84	5	43	14
ENSG00000285629	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
